i,t_v,tensión(V)
0,1668614485.6064453,+1.21034230E+02
0,1668614486.0449219,+1.21032150E+02
0,1668614486.4833984,+1.21029450E+02
0,1668614486.9248047,+1.21026950E+02
0,1668614487.3662107,+1.21025810E+02
0,1668614487.807617,+1.21023620E+02
0,1668614488.2460938,+1.21021230E+02
0,1668614488.6835938,+1.21019980E+02
0,1668614489.1210938,+1.21019250E+02
0,1668614489.5625,+1.21016340E+02
0,1668614490.0048826,+1.21014570E+02
0,1668614490.4433591,+1.21013010E+02
0,1668614490.8847656,+1.21010200E+02
0,1668614491.328125,+1.21008540E+02
0,1668614491.7675781,+1.21006980E+02
0,1668614492.2080076,+1.21005310E+02
0,1668614492.6455078,+1.21003440E+02
0,1668614493.0878906,+1.21001470E+02
0,1668614493.526367,+1.20999070E+02
0,1668614493.961914,+1.20995850E+02
0,1668614494.4003906,+1.20994500E+02
0,1668614494.8378906,+1.20991380E+02
0,1668614495.2773438,+1.20988460E+02
0,1668614495.7167969,+1.20985240E+02
0,1668614496.1552734,+1.20982320E+02
0,1668614496.5947263,+1.20979410E+02
0,1668614497.0390625,+1.20975670E+02
0,1668614497.4785156,+1.20971710E+02
0,1668614497.9179688,+1.20968180E+02
0,1668614498.356445,+1.20964740E+02
0,1668614498.7939453,+1.20960790E+02
0,1668614499.2333982,+1.20957980E+02
0,1668614499.6728516,+1.20954650E+02
0,1668614500.1142578,+1.20951010E+02
0,1668614500.5507812,+1.20949660E+02
0,1668614500.9863281,+1.20947160E+02
0,1668614501.4277344,+1.20944560E+02
0,1668614501.868164,+1.20944460E+02
0,1668614502.3066406,+1.20942280E+02
0,1668614502.7470703,+1.20941860E+02
0,1668614503.1865234,+1.20939990E+02
0,1668614503.6230469,+1.20940400E+02
0,1668614504.0585938,+1.20940190E+02
0,1668614504.493164,+1.20940610E+02
0,1668614504.9306638,+1.20939360E+02
0,1668614505.3671875,+1.20939050E+02
0,1668614505.805664,+1.20938740E+02
0,1668614506.2441406,+1.20938220E+02
0,1668614506.6855466,+1.20936450E+02
0,1668614507.1220703,+1.20935200E+02
0,1668614507.5625,+1.20934470E+02
0,1668614508.0029297,+1.20932810E+02
0,1668614508.444336,+1.20932500E+02
0,1668614508.883789,+1.20931040E+02
0,1668614509.3261719,+1.20930520E+02
0,1668614509.7685544,+1.20928340E+02
0,1668614510.2070312,+1.20928230E+02
0,1668614510.6484375,+1.20927090E+02
0,1668614511.084961,+1.20926150E+02
